model,Dim,Cluster,Comparison,Ablation,MSI,MV,ISI,IV,MEM,IEM
gemma_2_9b_it,care,cl1,moral_vs_immoral,-20.000,0.015,0.108,-0.013,0.207,0.137,-0.063
gemma_2_9b_it,care,cl1,moral_vs_neutral,-20.000,0.015,0.108,0.465,0.497,0.137,0.936
gemma_2_9b_it,care,cl1,moral_vs_immoral,10.000,-0.211,0.598,-0.045,0.646,-0.353,-0.069
gemma_2_9b_it,care,cl1,moral_vs_neutral,10.000,-0.211,0.598,-0.088,0.275,-0.353,-0.321
gemma_2_9b_it,care,cl2,moral_vs_immoral,-20.000,0.032,0.534,0.044,0.567,0.061,0.077
gemma_2_9b_it,care,cl2,moral_vs_neutral,-20.000,0.032,0.534,0.105,0.389,0.061,0.270
gemma_2_9b_it,care,cl2,moral_vs_immoral,10.000,0.005,0.560,-0.197,0.666,0.009,-0.297
gemma_2_9b_it,care,cl2,moral_vs_neutral,10.000,0.005,0.560,-0.161,0.357,0.009,-0.451
gemma_2_9b_it,care,cl3,moral_vs_immoral,-20.000,-0.030,0.250,0.035,0.164,-0.121,0.213
gemma_2_9b_it,care,cl3,moral_vs_neutral,-20.000,-0.030,0.250,-0.081,0.602,-0.121,-0.134
gemma_2_9b_it,care,cl3,moral_vs_immoral,10.000,-0.032,0.165,-0.022,0.149,-0.196,-0.146
gemma_2_9b_it,care,cl3,moral_vs_neutral,10.000,-0.032,0.165,0.147,0.565,-0.196,0.260
gemma_2_9b_it,liberty,cl1,moral_vs_immoral,-20.000,0.079,0.322,0.006,0.061,0.246,0.092
gemma_2_9b_it,liberty,cl1,moral_vs_neutral,-20.000,0.079,0.322,-0.049,0.540,0.246,-0.092
gemma_2_9b_it,liberty,cl1,moral_vs_immoral,-10.000,0.062,0.377,0.011,0.346,0.165,0.031
gemma_2_9b_it,liberty,cl1,moral_vs_neutral,-10.000,0.062,0.377,-0.093,0.339,0.165,-0.274
gemma_2_9b_it,liberty,cl1,moral_vs_immoral,10.000,0.066,0.323,0.103,0.469,0.203,0.219
gemma_2_9b_it,liberty,cl1,moral_vs_neutral,10.000,0.066,0.323,0.069,0.473,0.203,0.145
gemma_2_9b_it,liberty,cl2,moral_vs_immoral,-20.000,0.010,0.124,0.004,0.270,0.083,0.014
gemma_2_9b_it,liberty,cl2,moral_vs_neutral,-20.000,0.010,0.124,-0.009,0.305,0.083,-0.030
gemma_2_9b_it,liberty,cl2,moral_vs_immoral,-10.000,0.016,0.445,0.061,0.321,0.036,0.190
gemma_2_9b_it,liberty,cl2,moral_vs_neutral,-10.000,0.016,0.445,0.005,0.438,0.036,0.012
gemma_2_9b_it,liberty,cl2,moral_vs_immoral,10.000,-0.140,0.675,0.126,0.537,-0.208,0.235
gemma_2_9b_it,liberty,cl2,moral_vs_immoral,10.000,0.034,0.181,0.060,0.302,0.187,0.199
gemma_2_9b_it,liberty,cl2,moral_vs_neutral,10.000,-0.140,0.675,-0.043,0.184,-0.208,-0.235
gemma_2_9b_it,liberty,cl2,moral_vs_neutral,10.000,0.034,0.181,0.299,0.526,0.187,0.569
gemma_2_9b_it,liberty,cl3,moral_vs_immoral,-20.000,-0.020,0.520,0.065,0.425,-0.038,0.154
gemma_2_9b_it,liberty,cl3,moral_vs_neutral,-20.000,-0.020,0.520,0.001,0.004,-0.038,0.305
gemma_2_9b_it,liberty,cl3,moral_vs_immoral,-10.000,0.063,0.588,-0.100,0.571,0.107,-0.175
gemma_2_9b_it,liberty,cl3,moral_vs_neutral,-10.000,0.063,0.588,-0.074,0.236,0.107,-0.314
gemma_2_9b_it,liberty,cl3,moral_vs_immoral,10.000,0.033,0.440,0.032,0.416,0.075,0.078
gemma_2_9b_it,liberty,cl3,moral_vs_neutral,10.000,0.033,0.440,0.049,0.259,0.075,0.189
gemma_2_9b_it,sanctity,cl1,moral_vs_immoral,-20.000,-0.786,0.367,-0.764,0.392,-2.145,-1.949
gemma_2_9b_it,sanctity,cl1,moral_vs_neutral,-20.000,-0.786,0.367,-0.149,0.319,-2.145,-0.467
gemma_2_9b_it,sanctity,cl1,moral_vs_immoral,-10.000,-0.025,0.561,-0.196,0.558,-0.044,-0.351
gemma_2_9b_it,sanctity,cl1,moral_vs_neutral,-10.000,-0.025,0.561,0.635,0.455,-0.044,1.394
gemma_2_9b_it,sanctity,cl1,moral_vs_immoral,-5.000,0.102,0.295,0.202,0.362,0.347,0.558
gemma_2_9b_it,sanctity,cl1,moral_vs_neutral,-5.000,0.102,0.295,0.780,0.412,0.347,1.891
gemma_2_9b_it,sanctity,cl1,moral_vs_immoral,5.000,-0.223,0.593,-0.261,0.579,-0.376,-0.450
gemma_2_9b_it,sanctity,cl1,moral_vs_neutral,5.000,-0.223,0.593,0.162,0.368,-0.376,0.442
gemma_2_9b_it,sanctity,cl2,moral_vs_immoral,-20.000,-0.788,0.321,-0.457,0.585,-2.456,-0.780
gemma_2_9b_it,sanctity,cl2,moral_vs_neutral,-20.000,-0.788,0.321,-0.054,0.280,-2.456,-0.193
gemma_2_9b_it,sanctity,cl2,moral_vs_immoral,-5.000,0.010,0.242,-0.059,0.437,0.040,-0.134
gemma_2_9b_it,sanctity,cl2,moral_vs_neutral,-5.000,0.010,0.242,0.452,0.430,0.040,1.052
gemma_2_9b_it,sanctity,cl2,moral_vs_immoral,5.000,-0.090,0.328,-0.045,0.342,-0.276,-0.131
gemma_2_9b_it,sanctity,cl2,moral_vs_neutral,5.000,-0.090,0.328,-0.220,0.612,-0.276,-0.360
gemma_2_9b_it,sanctity,cl2,moral_vs_immoral,10.000,-0.380,0.589,-0.343,0.492,-0.645,-0.696
gemma_2_9b_it,sanctity,cl2,moral_vs_neutral,10.000,-0.380,0.589,0.050,0.325,-0.645,0.154
gemma_2_9b_it,sanctity,cl3,moral_vs_immoral,-20.000,0.091,0.300,0.081,0.324,0.302,0.249
gemma_2_9b_it,sanctity,cl3,moral_vs_neutral,-20.000,0.091,0.300,0.693,0.458,0.302,1.512
gemma_2_9b_it,sanctity,cl3,moral_vs_immoral,-5.000,-0.008,0.619,-0.044,0.510,-0.013,-0.087
gemma_2_9b_it,sanctity,cl3,moral_vs_neutral,-5.000,-0.008,0.619,0.096,0.471,-0.013,0.204
gemma_2_9b_it,sanctity,cl3,moral_vs_immoral,5.000,0.043,0.252,0.020,0.261,0.172,0.076
gemma_2_9b_it,sanctity,cl3,moral_vs_neutral,5.000,0.043,0.252,0.178,0.534,0.172,0.333
